Model,Test Accuracy,Test Loss,Training Time (s),Parameters Count
GCN,0.1878453038674033,1.8141074180603027,2.557413101196289,146950
GAT,0.1910023677979479,1.8522517681121826,1.8554294109344482,294936
DHGAT,0.21862667719021311,1.7423068284988403,2.591062307357788,819208
